,availability,location,bhk,total_sqft,bath,price,total_sqftbybhk
2524,0,Gunjur,2.0,1140.0,2.0,43.0,570.0
2525,1,Gunjur,3.0,1356.0,2.0,66.0,452.0
2526,1,Gunjur,3.0,1600.0,3.0,75.0,533.3333333333334
2527,1,Gunjur,4.0,2000.0,3.0,95.0,500.0
2528,0,Gunjur,2.0,1140.0,2.0,49.11,570.0
2529,1,Gunjur,2.0,1195.0,2.0,44.0,597.5
2530,1,Gunjur,2.0,1190.0,2.0,40.0,595.0
2531,0,Gunjur,2.0,1457.0,2.0,60.0,728.5
2532,1,Gunjur,2.0,1080.0,2.0,41.0,540.0
2535,1,Gunjur,2.0,1175.0,2.0,43.48,587.5
2536,1,Gunjur,3.0,1362.0,3.0,62.63,454.0
2537,1,Gunjur,2.0,1071.0,2.0,51.0,535.5
2538,1,Gunjur,2.0,1063.0,2.0,40.0,531.5
2539,0,Gunjur,2.0,1235.0,2.0,52.76,617.5
2540,1,Gunjur,3.0,1362.0,3.0,62.63,454.0
2541,1,Gunjur,3.0,1362.0,3.0,62.63,454.0
2542,1,Gunjur,3.0,1588.0,2.0,90.0,529.3333333333334
2543,0,Gunjur,2.0,1235.0,2.0,44.5,617.5
2544,1,Gunjur,2.0,1457.0,2.0,60.0,728.5
2545,1,HAL 2nd Stage,3.0,1490.0,2.0,300.0,496.6666666666667
2546,0,HAL 2nd Stage,2.0,600.0,3.0,145.0,300.0
2547,1,HAL 2nd Stage,3.0,2700.0,3.0,500.0,900.0
2548,1,HAL 2nd Stage,5.0,2040.0,4.0,500.0,408.0
2549,1,HBR Layout,3.0,2800.0,2.0,200.0,933.3333333333334
2551,1,HBR Layout,4.0,1200.0,4.0,120.0,300.0
2552,1,HBR Layout,2.0,1200.0,2.0,60.0,600.0
2553,1,HBR Layout,2.0,1004.0,2.0,49.0,502.0
2554,1,HBR Layout,3.0,1783.0,3.0,125.0,594.3333333333334
2556,1,HBR Layout,2.0,1089.0,2.0,60.0,544.5
2557,1,HBR Layout,3.0,1700.0,3.0,110.0,566.6666666666666
2558,1,HBR Layout,2.0,1198.0,2.0,65.0,599.0
2559,1,HBR Layout,4.0,1200.0,4.0,115.0,300.0
2560,1,HBR Layout,2.0,1200.0,2.0,120.0,600.0
2561,1,HBR Layout,3.0,1832.0,3.0,160.0,610.6666666666666
2562,1,HRBR Layout,2.0,1374.0,2.0,95.0,687.0
2563,1,HRBR Layout,2.0,1440.0,2.0,98.0,720.0
2565,1,HRBR Layout,3.0,2800.0,3.0,250.0,933.3333333333334
2566,1,HRBR Layout,2.0,1210.0,2.0,75.0,605.0
2567,1,HRBR Layout,2.0,1265.0,2.0,78.0,632.5
2568,1,HRBR Layout,2.0,1170.0,2.0,75.0,585.0
2570,1,HRBR Layout,4.0,1900.0,3.0,90.0,475.0
2571,1,HRBR Layout,3.0,1625.0,3.0,120.0,541.6666666666666
2572,0,HRBR Layout,2.0,1301.0,2.0,120.0,650.5
2573,1,HRBR Layout,2.0,1145.0,2.0,68.5,572.5
2574,1,HRBR Layout,2.0,1300.0,2.0,90.0,650.0
2576,1,HSR Layout,2.0,1372.0,2.0,68.0,686.0
2578,1,HSR Layout,3.0,1475.0,3.0,75.0,491.6666666666667
2579,1,HSR Layout,2.0,1467.0,2.0,55.0,733.5
2580,1,HSR Layout,2.0,1140.0,2.0,46.0,570.0
2581,1,HSR Layout,2.0,1372.0,2.0,61.0,686.0
2582,1,HSR Layout,3.0,1750.0,3.0,95.0,583.3333333333334
2584,1,HSR Layout,2.0,1027.0,2.0,44.0,513.5
2585,1,HSR Layout,3.0,1650.0,3.0,110.0,550.0
2586,1,HSR Layout,2.0,1140.0,2.0,46.0,570.0
2587,1,HSR Layout,2.0,1372.0,2.0,61.0,686.0
2588,1,HSR Layout,2.0,1140.0,2.0,46.0,570.0
2589,1,HSR Layout,2.0,1185.0,2.0,60.0,592.5
2590,1,HSR Layout,2.0,1127.0,2.0,68.0,563.5
2591,1,HSR Layout,3.0,1600.0,2.0,115.0,533.3333333333334
2592,1,HSR Layout,2.0,1145.0,2.0,48.0,572.5
2593,1,HSR Layout,2.0,1009.0,2.0,56.0,504.5
2594,1,HSR Layout,2.0,1300.0,2.0,98.0,650.0
2596,1,HSR Layout,2.0,1140.0,2.0,46.0,570.0
2597,1,HSR Layout,2.0,1126.0,2.0,69.0,563.0
2599,1,HSR Layout,2.0,1140.0,2.0,46.0,570.0
2600,1,HSR Layout,2.0,1145.0,2.0,46.0,572.5
2601,1,HSR Layout,2.0,1142.0,2.0,65.0,571.0
2602,1,HSR Layout,2.0,1145.0,2.0,46.0,572.5
2603,1,HSR Layout,3.0,1844.0,3.0,95.0,614.6666666666666
2604,1,HSR Layout,2.0,1203.0,2.0,72.0,601.5
2605,1,HSR Layout,2.0,1140.0,2.0,46.0,570.0
2606,1,HSR Layout,5.0,4200.0,5.0,245.0,840.0
2607,1,HSR Layout,2.0,1140.0,2.0,46.0,570.0
2608,1,HSR Layout,2.0,1145.0,2.0,46.0,572.5
2609,1,HSR Layout,2.0,1009.0,2.0,56.0,504.5
2610,1,HSR Layout,2.0,1145.0,2.0,46.0,572.5
2611,1,HSR Layout,2.0,1100.0,2.0,44.0,550.0
2612,1,HSR Layout,2.0,1203.0,2.0,60.0,601.5
2613,1,HSR Layout,2.0,1120.0,2.0,70.0,560.0
2614,1,HSR Layout,2.0,1140.0,2.0,46.0,570.0
2615,1,HSR Layout,2.0,1289.0,2.0,70.0,644.5
2616,1,HSR Layout,3.0,1844.0,3.0,89.0,614.6666666666666
2617,1,HSR Layout,2.0,1203.0,2.0,60.0,601.5
2618,1,HSR Layout,2.0,1140.0,2.0,46.0,570.0
2619,0,Haralur Road,2.0,1240.0,2.0,70.0,620.0
2620,1,Haralur Road,2.0,1027.0,2.0,44.0,513.5
2623,1,Haralur Road,2.0,1194.0,2.0,47.0,597.0
2624,1,Haralur Road,2.0,1202.0,2.0,53.0,601.0
2625,1,Haralur Road,2.0,1056.0,2.0,61.0,528.0
2627,0,Haralur Road,3.0,1810.0,3.0,100.0,603.3333333333334
2628,1,Haralur Road,2.0,1194.0,2.0,46.0,597.0
2630,0,Haralur Road,2.0,1225.0,2.0,67.38,612.5
2631,1,Haralur Road,2.0,1243.0,2.0,46.0,621.5
2632,1,Haralur Road,2.0,1027.0,2.0,44.0,513.5
2633,1,Haralur Road,3.0,1920.0,3.0,115.0,640.0
2634,0,Haralur Road,3.0,1875.0,3.0,110.0,625.0
2635,1,Haralur Road,2.0,1194.0,2.0,47.0,597.0
2636,1,Haralur Road,2.0,1140.0,2.0,43.0,570.0
2637,1,Haralur Road,2.0,1027.0,2.0,44.0,513.5
2638,1,Haralur Road,2.0,1194.0,2.0,46.0,597.0
2639,1,Haralur Road,3.0,2017.0,3.0,125.0,672.3333333333334
2640,1,Haralur Road,2.0,1140.0,2.0,43.0,570.0
2641,0,Haralur Road,3.0,1875.0,3.0,110.0,625.0
2642,1,Haralur Road,2.0,1092.0,2.0,44.0,546.0
2643,1,Haralur Road,3.0,2475.0,4.0,130.0,825.0
2644,1,Haralur Road,2.0,1300.0,2.0,73.0,650.0
2645,1,Haralur Road,2.0,1194.0,2.0,47.0,597.0
2646,1,Haralur Road,2.0,1243.0,2.0,46.0,621.5
2647,1,Haralur Road,3.0,1850.0,3.0,110.0,616.6666666666666
2648,0,Haralur Road,2.0,1225.0,2.0,67.38,612.5
2649,1,Haralur Road,2.0,1243.0,2.0,46.0,621.5
2650,1,Haralur Road,4.0,3400.0,5.0,240.0,850.0
2651,1,Haralur Road,2.0,1464.0,2.0,56.0,732.0
2652,0,Haralur Road,2.0,1230.0,2.0,78.0,615.0
2653,1,Haralur Road,2.0,1000.0,2.0,44.0,500.0
2655,1,Haralur Road,2.0,1300.0,2.0,79.0,650.0
2656,1,Haralur Road,3.0,1444.0,2.0,80.0,481.3333333333333
2657,1,Haralur Road,2.0,1088.0,2.0,68.0,544.0
2658,1,Haralur Road,2.0,1027.0,2.0,44.0,513.5
2660,0,Haralur Road,2.0,1225.0,2.0,70.0,612.5
2662,1,Haralur Road,2.0,1194.0,2.0,46.0,597.0
2663,0,Haralur Road,3.0,1830.0,3.0,101.0,610.0
2664,1,Haralur Road,3.0,1810.0,3.0,126.0,603.3333333333334
2665,1,Haralur Road,2.0,1464.0,2.0,56.0,732.0
2666,0,Haralur Road,3.0,1520.0,2.0,96.0,506.6666666666667
2667,1,Haralur Road,2.0,1300.0,2.0,75.0,650.0
2668,1,Haralur Road,3.0,2017.0,2.0,125.0,672.3333333333334
2669,1,Haralur Road,2.0,1243.0,2.0,46.0,621.5
2670,1,Haralur Road,2.0,1027.0,2.0,44.0,513.5
2671,0,Haralur Road,4.0,2805.0,5.0,160.0,701.25
2672,1,Haralur Road,2.0,1243.0,2.0,46.0,621.5
2673,1,Haralur Road,2.0,1027.0,2.0,44.0,513.5
2674,1,Haralur Road,3.0,2017.0,3.0,105.0,672.3333333333334
2675,1,Haralur Road,2.0,1243.0,2.0,46.0,621.5
2676,1,Haralur Road,2.0,1243.0,2.0,46.0,621.5
2677,0,Haralur Road,3.0,1520.0,2.0,90.0,506.6666666666667
2678,1,Haralur Road,2.0,1300.0,2.0,60.0,650.0
2679,0,Haralur Road,3.0,1985.0,3.0,130.0,661.6666666666666
2680,1,Haralur Road,3.0,1255.0,2.0,90.0,418.3333333333333
2681,1,Haralur Road,2.0,1056.0,2.0,60.0,528.0
2682,1,Haralur Road,2.0,1140.0,2.0,42.0,570.0
2683,1,Haralur Road,2.0,1245.0,2.0,62.0,622.5
2684,1,Haralur Road,2.0,1140.0,2.0,58.0,570.0
2685,1,Haralur Road,2.0,1140.0,2.0,42.0,570.0
2686,1,Haralur Road,2.0,1027.0,2.0,43.0,513.5
2687,0,Haralur Road,2.0,1194.0,2.0,47.0,597.0
2688,1,Haralur Road,2.0,1194.0,2.0,47.0,597.0
2689,1,Haralur Road,3.0,1560.0,3.0,90.0,520.0
2690,0,Haralur Road,3.0,1520.0,2.0,85.0,506.6666666666667
2691,1,Haralur Road,2.0,1243.0,2.0,45.0,621.5
2692,0,Haralur Road,2.0,1027.0,2.0,44.0,513.5
2693,1,Haralur Road,2.0,1194.0,2.0,46.0,597.0
2694,1,Haralur Road,3.0,1650.0,3.0,100.0,550.0
2695,1,Haralur Road,3.0,1580.0,3.0,73.0,526.6666666666666
2696,1,Haralur Road,2.0,1243.0,2.0,46.0,621.5
2697,1,Haralur Road,2.0,1194.0,2.0,47.0,597.0
2699,0,Haralur Road,3.0,1520.0,2.0,96.0,506.6666666666667
2700,0,Haralur Road,3.0,1510.0,3.0,83.05,503.3333333333333
2701,1,Haralur Road,2.0,1056.0,2.0,65.0,528.0
2702,0,Haralur Road,3.0,1810.0,3.0,100.0,603.3333333333334
2703,1,Haralur Road,2.0,1243.0,2.0,46.0,621.5
2704,0,Haralur Road,1.0,575.0,1.0,38.0,575.0
2705,1,Haralur Road,2.0,1194.0,2.0,46.0,597.0
2706,1,Haralur Road,2.0,1243.0,2.0,46.0,621.5
2707,1,Haralur Road,2.0,1194.0,2.0,46.0,597.0
2708,1,Haralur Road,2.0,1140.0,2.0,43.0,570.0
2709,0,Haralur Road,3.0,1850.0,3.0,120.0,616.6666666666666
2710,1,Haralur Road,2.0,1194.0,2.0,47.0,597.0
2711,1,Haralur Road,2.0,1194.0,2.0,47.0,597.0
2713,1,Haralur Road,2.0,1243.0,2.0,46.0,621.5
2714,1,Haralur Road,3.0,1710.0,3.0,85.0,570.0
2715,1,Haralur Road,3.0,1730.0,3.0,95.0,576.6666666666666
2716,1,Haralur Road,2.0,1243.0,2.0,46.0,621.5
2717,1,Haralur Road,2.0,1243.0,2.0,46.0,621.5
2718,1,Haralur Road,2.0,1243.0,2.0,46.0,621.5
2719,1,Haralur Road,3.0,1817.0,3.0,110.0,605.6666666666666
2720,0,Haralur Road,2.0,1225.0,2.0,77.0,612.5
2721,1,Haralur Road,2.0,1285.0,2.0,78.0,642.5
2722,0,Haralur Road,2.0,1225.0,2.0,67.48,612.5
2723,0,Haralur Road,2.0,1225.0,2.0,69.84,612.5
2724,1,Haralur Road,2.0,1200.0,2.0,46.0,600.0
2725,1,Haralur Road,2.0,1315.0,2.0,85.0,657.5
2726,1,Haralur Road,3.0,1976.0,3.0,92.0,658.6666666666666
2727,1,Haralur Road,2.0,1300.0,2.0,75.0,650.0
2728,1,Haralur Road,2.0,1309.0,2.0,82.0,654.5
2729,1,Haralur Road,2.0,1027.0,1.0,44.0,513.5
2730,1,Haralur Road,2.0,1243.0,2.0,46.0,621.5
2731,1,Haralur Road,2.0,1243.0,2.0,46.0,621.5
2732,1,Haralur Road,2.0,1140.0,2.0,43.0,570.0
2733,1,Haralur Road,2.0,1300.0,2.0,75.0,650.0
2734,1,Haralur Road,2.0,1243.0,2.0,46.0,621.5
2735,1,Haralur Road,3.0,1890.0,3.0,84.0,630.0
2736,0,Haralur Road,2.0,1230.0,2.0,67.65,615.0
2737,1,Haralur Road,2.0,1194.0,2.0,46.0,597.0
2738,1,Haralur Road,2.0,1092.0,2.0,44.0,546.0
2740,1,Haralur Road,3.0,1255.0,3.0,90.0,418.3333333333333
2741,1,Haralur Road,3.0,1735.0,3.0,97.0,578.3333333333334
2742,0,Haralur Road,3.0,1810.0,3.0,97.83,603.3333333333334
2743,1,Haralur Road,2.0,1200.0,2.0,46.0,600.0
2744,1,Haralur Road,2.0,1243.0,2.0,46.0,621.5
2745,0,Haralur Road,3.0,1810.0,3.0,112.0,603.3333333333334
2746,1,Harlur,2.0,1508.0,2.0,77.0,754.0
2747,1,Harlur,3.0,1752.12,3.0,135.0,584.04
2750,1,Harlur,3.0,1709.0,3.0,150.0,569.6666666666666
2751,1,Harlur,2.0,1174.0,2.0,69.0,587.0
2752,1,Harlur,2.0,1033.0,2.0,49.0,516.5
2753,1,Harlur,2.0,1197.0,2.0,84.0,598.5
2754,1,Harlur,3.0,1757.0,3.0,132.0,585.6666666666666
2755,1,Harlur,2.0,1174.0,2.0,76.0,587.0
2756,1,Harlur,3.0,1754.0,3.0,125.0,584.6666666666666
2757,1,Harlur,2.0,1290.0,2.0,85.0,645.0
2758,1,Harlur,3.0,1752.12,3.0,116.0,584.04
2759,1,Harlur,3.0,1754.0,3.0,135.0,584.6666666666666
2760,1,Harlur,3.0,1754.0,3.0,124.0,584.6666666666666
2761,1,Harlur,2.0,1152.0,2.0,69.0,576.0
2762,1,Harlur,2.0,1290.0,2.0,87.0,645.0
2763,1,Harlur,3.0,1749.0,3.0,115.0,583.0
2764,0,Harlur,4.0,3385.0,4.0,260.0,846.25
2765,1,Harlur,3.0,2240.0,5.0,155.0,746.6666666666666
2766,1,Harlur,3.0,1758.0,3.0,133.0,586.0
2768,1,Harlur,2.0,1197.0,2.0,79.0,598.5
2769,1,Harlur,2.0,1174.0,2.0,78.0,587.0
2772,1,Harlur,2.0,1200.0,2.0,52.0,600.0
2773,0,Harlur,2.0,1197.0,2.0,79.0,598.5
2774,1,Harlur,3.0,1749.0,3.0,112.0,583.0
2775,1,Harlur,2.0,1174.0,2.0,75.0,587.0
2776,1,Harlur,3.0,1750.0,3.0,136.0,583.3333333333334
2777,1,Harlur,3.0,1620.0,3.0,110.0,540.0
2780,1,Harlur,3.0,1762.0,3.0,133.0,587.3333333333334
2781,1,Harlur,3.0,1756.0,3.0,131.0,585.3333333333334
2782,1,Harlur,3.0,1755.0,3.0,130.0,585.0
2783,1,Harlur,3.0,1864.0,3.0,140.0,621.3333333333334
2784,1,Harlur,2.0,1331.0,2.0,88.0,665.5
2785,1,Harlur,3.0,1752.12,3.0,133.0,584.04
2786,1,Harlur,2.0,1133.0,2.0,55.0,566.5
2787,1,Harlur,3.0,1756.0,3.0,128.0,585.3333333333334
2788,1,Harlur,3.0,1749.0,3.0,120.0,583.0
2789,1,Harlur,2.0,1197.0,2.0,82.0,598.5
2790,1,Harlur,2.0,1303.0,2.0,90.0,651.5
2791,1,Harlur,3.0,1754.0,3.0,132.0,584.6666666666666
2792,1,Harlur,2.0,1174.0,2.0,75.0,587.0
2793,1,Harlur,3.0,1756.0,3.0,134.0,585.3333333333334
2794,1,Harlur,2.0,1197.0,2.0,78.0,598.5
2795,1,Harlur,2.0,1290.0,2.0,89.9,645.0
2796,0,Harlur,2.0,1386.0,2.0,85.0,693.0
2797,1,Harlur,2.0,1174.0,2.0,74.0,587.0
2798,1,Harlur,2.0,1174.0,2.0,78.0,587.0
2800,1,Harlur,3.0,1755.0,3.0,115.0,585.0
2802,1,Harlur,4.0,2569.0,4.0,175.0,642.25
2804,1,Harlur,2.0,1197.0,2.0,77.0,598.5
2805,1,Harlur,3.0,1752.12,3.0,125.0,584.04
2806,0,Harlur,4.0,2569.0,5.0,180.0,642.25
2807,1,Harlur,2.0,1225.0,2.0,56.0,612.5
2808,1,Harlur,2.0,1197.0,2.0,76.0,598.5
2810,1,Harlur,2.0,1197.0,2.0,75.0,598.5
2811,1,Harlur,3.0,1755.0,3.0,117.0,585.0
2812,1,Harlur,2.0,1197.0,2.0,79.9,598.5
2813,1,Harlur,2.0,936.0,2.0,45.0,468.0
2814,1,Harlur,4.0,2990.0,4.0,225.0,747.5
2815,1,Harlur,2.0,1370.0,2.0,88.0,685.0
2816,1,Harlur,2.0,1335.0,2.0,72.76,667.5
2817,1,Hebbal,3.0,1760.0,2.0,123.0,586.6666666666666
2818,0,Hebbal,4.0,5611.5,4.0,477.0,1402.875
2820,1,Hebbal,2.0,1349.0,2.0,98.2,674.5
2821,1,Hebbal,4.0,2483.0,5.0,212.0,620.75
2822,0,Hebbal,3.0,1760.0,2.0,130.0,586.6666666666666
2823,1,Hebbal,3.0,3450.0,5.0,260.0,1150.0
2824,0,Hebbal,3.0,1920.0,3.0,134.0,640.0
2825,0,Hebbal,2.0,1337.0,2.0,82.0,668.5
2826,1,Hebbal,2.0,1349.0,2.0,98.0,674.5
2829,0,Hebbal,3.0,1790.0,3.0,127.0,596.6666666666666
2830,0,Hebbal,2.0,687.325,2.0,42.72,343.6625
2832,0,Hebbal,3.0,1985.0,4.0,189.0,661.6666666666666
2833,1,Hebbal,4.0,2483.0,5.0,215.0,620.75
2834,1,Hebbal,2.0,1080.0,2.0,54.0,540.0
2835,0,Hebbal,2.0,812.0,2.0,55.0,406.0
2837,0,Hebbal,4.0,3067.0,4.0,230.0,766.75
2838,0,Hebbal,3.0,2526.0,2.0,250.0,842.0
2839,0,Hebbal,4.0,3067.0,4.0,230.0,766.75
2841,0,Hebbal,2.0,823.0,2.0,50.63,411.5
2842,1,Hebbal,2.0,1420.0,2.0,123.0,710.0
2844,1,Hebbal,2.0,1420.0,2.0,99.39,710.0
2845,0,Hebbal,4.0,4235.0,4.0,365.0,1058.75
2846,0,Hebbal,3.0,1700.0,3.0,124.0,566.6666666666666
2847,0,Hebbal,4.0,3960.0,5.0,386.0,990.0
2848,0,Hebbal,2.0,1420.0,2.0,99.39,710.0
2850,0,Hebbal,2.0,1440.0,2.0,115.0,720.0
2851,1,Hebbal,2.0,1100.0,2.0,54.0,550.0
2853,1,Hebbal,3.0,2400.0,4.0,180.0,800.0
2855,0,Hebbal,2.0,1420.0,2.0,107.0,710.0
2856,0,Hebbal,2.0,1320.0,2.0,92.0,660.0
2857,1,Hebbal,2.0,919.0,2.0,49.0,459.5
2858,0,Hebbal,3.0,1645.0,3.0,135.0,548.3333333333334
2859,1,Hebbal,3.0,2080.0,3.0,175.0,693.3333333333334
2861,1,Hebbal,4.0,2483.0,5.0,230.0,620.75
2862,0,Hebbal,3.0,2600.0,3.0,195.0,866.6666666666666
2863,0,Hebbal,3.0,1645.0,3.0,117.0,548.3333333333334
2864,0,Hebbal,2.0,1251.0,2.0,88.73,625.5
2865,0,Hebbal,3.0,1645.0,3.0,121.0,548.3333333333334
2866,1,Hebbal,3.0,1760.0,3.0,123.0,586.6666666666666
2868,0,Hebbal,4.0,3960.0,5.0,386.0,990.0
2869,0,Hebbal,3.0,1645.0,3.0,120.0,548.3333333333334
2870,0,Hebbal,3.0,1255.0,2.0,90.0,418.3333333333333
2871,0,Hebbal,3.0,1645.0,3.0,117.0,548.3333333333334
2874,0,Hebbal,3.0,1636.0,3.0,119.0,545.3333333333334
2875,0,Hebbal,3.0,2661.0,2.0,226.5,887.0
2876,0,Hebbal,3.0,1255.0,2.0,95.0,418.3333333333333
2879,0,Hebbal,3.0,1255.0,2.0,95.0,418.3333333333333
2880,0,Hebbal,2.0,1088.0,2.0,61.45,544.0
2881,1,Hebbal,2.0,1349.0,2.0,97.8,674.5
2883,1,Hebbal,2.0,1344.0,2.0,108.0,672.0
2884,0,Hebbal,3.0,1255.0,2.0,90.0,418.3333333333333
2886,0,Hebbal,2.0,1138.0,2.0,110.0,569.0
2887,0,Hebbal,4.0,2790.0,5.0,204.0,697.5
2888,0,Hebbal,2.0,1088.0,2.0,62.0,544.0
2889,1,Hebbal,3.0,1987.0,4.0,165.0,662.3333333333334
2891,1,Hebbal,2.0,1299.0,2.0,100.0,649.5
2892,1,Hebbal,2.0,1200.0,2.0,60.0,600.0
2893,0,Hebbal,3.0,1645.0,3.0,117.0,548.3333333333334
2894,1,Hebbal,2.0,1390.0,2.0,95.0,695.0
2895,1,Hebbal,2.0,1333.0,2.0,100.0,666.5
2897,1,Hebbal,3.0,2650.0,4.0,199.0,883.3333333333334
2898,1,Hebbal,3.0,1800.0,3.0,140.0,600.0
2900,0,Hebbal,4.0,2470.0,4.0,203.0,617.5
2901,0,Hebbal,3.0,1255.0,2.0,95.0,418.3333333333333
2902,1,Hebbal,2.0,1333.0,2.0,104.0,666.5
2903,0,Hebbal,3.0,1645.0,3.0,117.0,548.3333333333334
2904,0,Hebbal,3.0,2600.0,3.0,199.0,866.6666666666666
2905,1,Hebbal,2.0,1345.0,2.0,97.0,672.5
2907,0,Hebbal,2.0,985.0,2.0,62.0,492.5
2908,0,Hebbal,2.0,1320.0,2.0,91.0,660.0
2909,1,Hebbal,3.0,2388.0,3.0,195.0,796.0
2910,1,Hebbal,2.0,1040.0,2.0,55.0,520.0
2912,0,Hebbal,3.0,2600.0,3.0,195.0,866.6666666666666
2913,0,Hebbal,4.0,2630.0,5.0,188.0,657.5
2915,0,Hebbal,3.0,1645.0,3.0,113.0,548.3333333333334
2917,1,Hebbal,2.0,1420.0,2.0,99.39,710.0
2919,1,Hebbal,3.0,3520.0,5.0,320.0,1173.3333333333333
2920,0,Hebbal,2.0,1162.0,2.0,69.0,581.0
2921,1,Hebbal,2.0,1100.0,2.0,60.0,550.0
2922,0,Hebbal,4.0,4235.0,5.0,364.0,1058.75
2923,1,Hebbal,2.0,1299.0,2.0,97.0,649.5
2925,0,Hebbal,4.0,2470.0,5.0,192.0,617.5
2926,0,Hebbal,3.0,1645.0,3.0,117.0,548.3333333333334
2927,0,Hebbal,3.0,1920.0,3.0,134.0,640.0
2928,1,Hebbal,3.0,3520.0,5.0,240.0,1173.3333333333333
2929,0,Hebbal,3.0,1920.0,3.0,150.0,640.0
2930,1,Hebbal,4.0,2375.0,4.0,189.0,593.75
2931,0,Hebbal,2.0,1420.0,2.0,99.26,710.0
2932,0,Hebbal,2.0,1252.0,2.0,92.0,626.0
2934,0,Hebbal,2.0,1162.0,2.0,59.0,581.0
2935,1,Hebbal,2.0,1294.0,2.0,115.0,647.0
2936,1,Hebbal,4.0,4225.0,6.0,359.0,1056.25
2937,1,Hebbal,2.0,1150.0,2.0,57.0,575.0
2938,1,Hebbal,3.0,1740.0,2.0,137.0,580.0
2940,0,Hebbal,3.0,1662.0,3.0,155.0,554.0
2941,1,Hebbal,3.0,2250.0,3.0,219.0,750.0
2942,1,Hebbal,2.0,1349.0,2.0,98.0,674.5
2943,1,Hebbal,4.0,4000.0,6.0,370.0,1000.0
2944,1,Hebbal,2.0,1349.0,2.0,96.8,674.5
2945,1,Hebbal Kempapura,3.0,1700.0,3.0,155.0,566.6666666666666
2946,1,Hebbal Kempapura,3.0,1800.0,3.0,175.0,600.0
2947,1,Hebbal Kempapura,3.0,2900.0,4.0,300.0,966.6666666666666
2948,1,Hebbal Kempapura,3.0,3522.0,3.0,380.0,1174.0
2949,1,Hebbal Kempapura,5.0,2280.0,5.0,200.0,456.0
2950,1,Hebbal Kempapura,2.0,1200.0,2.0,125.0,600.0
2951,1,Hebbal Kempapura,3.0,2900.0,4.0,240.0,966.6666666666666
2953,1,Hebbal Kempapura,2.0,1300.0,2.0,102.0,650.0
2954,1,Hebbal Kempapura,3.0,1466.0,2.0,140.0,488.6666666666667
2956,1,Hebbal Kempapura,3.0,1725.0,2.0,165.0,575.0
2957,1,Hebbal Kempapura,3.0,1200.0,3.0,125.0,400.0
2958,1,Hebbal Kempapura,3.0,3408.0,3.0,260.0,1136.0
2959,1,Hebbal Kempapura,2.0,1485.0,3.0,132.0,742.5
2960,1,Hebbal Kempapura,2.0,1400.0,2.0,108.0,700.0
2961,1,Hebbal Kempapura,3.0,1800.0,3.0,150.0,600.0
2962,1,Hebbal Kempapura,5.0,2400.0,5.0,200.0,480.0
2963,1,Hebbal Kempapura,5.0,2800.0,5.0,220.0,560.0
2964,1,Hebbal Kempapura,3.0,1785.0,3.0,165.0,595.0
2965,1,Hebbal Kempapura,4.0,3729.0,4.0,384.0,932.25
2966,1,Hebbal Kempapura,3.0,1600.0,3.0,170.0,533.3333333333334
2967,1,Hebbal Kempapura,3.0,1730.0,3.0,175.0,576.6666666666666
2969,1,Hegde Nagar,3.0,1569.0,3.0,101.0,523.0
2970,1,Hegde Nagar,6.0,3000.0,7.0,210.0,500.0
2971,1,Hegde Nagar,3.0,2026.0,3.0,132.0,675.3333333333334
2972,1,Hegde Nagar,3.0,1801.0,3.0,115.0,600.3333333333334
2973,1,Hegde Nagar,2.0,1050.0,1.0,56.0,525.0
2974,1,Hegde Nagar,2.0,1341.0,2.0,97.0,670.5
2975,1,Hegde Nagar,3.0,2112.95,4.0,145.0,704.3166666666666
2976,1,Hegde Nagar,4.0,1200.0,4.0,83.0,300.0
2977,1,Hegde Nagar,3.0,1703.0,3.0,113.0,567.6666666666666
2978,1,Hegde Nagar,3.0,1570.0,3.0,105.0,523.3333333333334
2979,1,Hegde Nagar,3.0,1801.0,3.0,140.0,600.3333333333334
2980,1,Hegde Nagar,3.0,1584.01,3.0,103.0,528.0033333333333
2981,1,Hegde Nagar,3.0,1965.0,4.0,125.0,655.0
2982,1,Hegde Nagar,2.0,1200.0,2.0,75.0,600.0
2983,1,Hegde Nagar,3.0,1847.0,3.0,135.0,615.6666666666666
2984,1,Hegde Nagar,3.0,1965.0,4.0,132.0,655.0
2985,1,Hegde Nagar,3.0,1703.0,3.0,125.0,567.6666666666666
2986,1,Hegde Nagar,3.0,1847.0,3.0,125.0,615.6666666666666
2987,1,Hegde Nagar,3.0,2144.6,4.0,145.0,714.8666666666667
2988,1,Hegde Nagar,3.0,1718.0,3.0,119.0,572.6666666666666
2989,1,Hegde Nagar,3.0,1847.0,3.0,123.0,615.6666666666666
2990,1,Hegde Nagar,2.0,1340.0,2.0,72.0,670.0
2992,0,Hegde Nagar,3.0,1703.0,3.0,130.0,567.6666666666666
2993,1,Hegde Nagar,3.0,2087.01,4.0,135.0,695.6700000000001
2994,1,Hegde Nagar,3.0,1718.0,3.0,130.0,572.6666666666666
2995,1,Hegde Nagar,3.0,1884.0,4.0,118.0,628.0
2996,1,Hegde Nagar,3.0,1930.0,4.0,122.0,643.3333333333334
2997,1,Hegde Nagar,3.0,1584.01,3.0,104.0,528.0033333333333
3000,1,Hegde Nagar,3.0,2087.01,4.0,160.0,695.6700000000001
3001,1,Hegde Nagar,2.0,1000.0,2.0,66.0,500.0
3003,1,Hennur,2.0,1075.0,2.0,52.0,537.5
